#steps	1480522483	time	4e+08	seed	1685634825
#type 1~vac, 2~sia, 3~fia, 4~vac_fia, 5~sia_fia
#no direction~0;	111~1;	-111~2;	1 - 11~3;	11 - 1~4
#id	type	x	y	z	size1	size2	dir
22206098	2	6.03944	17.2328	8.76857	1	0	4
22206099	2	7.42679	16.9813	8.85279	1	0	2
22206100	2	6.49827	16.4615	10.7517	1	0	3
22206101	2	0.037259	8.4248	63.4318	1	0	1
22206102	2	0.567245	7.75954	64.5595	1	0	4
22206104	2	19.5888	9.82436	12.1837	1	0	3
22206105	2	8.24808	12.0666	16.1827	1	0	2
22206106	2	17.5463	4.96199	7.62126	1	0	3
22206107	2	18.0763	4.29674	8.74892	1	0	3
22206108	2	5.59021	43.2995	11.0885	1	0	1
22206109	2	4.69009	42.231	10.8812	1	0	1
22206110	2	9.65528	33.2616	62.0639	1	0	3
22206112	2	0.960723	30.0808	53.6585	1	0	2
22206117	2	47.0377	24.1857	1.09573	1	0	3
22206120	2	23.3571	20.5326	17.6145	1	0	1
22206122	2	41.5458	19.3056	1.9773	3	0	3
22206123	2	53.2518	16.8495	7.11635	1	0	2
22206124	2	16.5007	7.49602	8.72301	1	0	3
22206125	2	55.6742	14.9572	20.7844	1	0	2
22206126	1	0.451585	47.3363	15.183	1556	0	0
22206127	1	16.4037	31.5685	14.5913	1445	0	0
22206128	1	8.13869	39.359	7.03675	1223	0	0
22206131	1	31.8719	31.0814	14.6322	1255	0	0
22206132	1	39.7347	22.6293	6.69964	1261	0	0
22206133	1	0.730984	31.8461	15.0314	1437	0	0
22206135	1	55.6965	39.5488	6.91731	1166	0	0
22206145	1	0.390638	15.4191	63.4013	1591	0	0
22206147	1	16.2115	14.8971	15.0227	1641	0	0
22206149	1	24.6412	24.3001	6.61471	1182	0	0
22206150	2	58.167	42.5213	14.6436	2	0	2
22206151	2	8.34111	17.7756	8.00701	2	0	3
22206154	2	58.1299	44.3756	14.8704	2	0	2
22206160	1	8.67727	6.82507	6.35713	1625	0	0
22206163	1	0.0759032	31.5638	63.9287	1551	0	0
22206166	1	55.7862	23.7005	7.15012	1215	0	0
22206167	1	8.55465	23.7478	6.86546	1306	0	0
