!	1	418													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Erotate	Ftm	Etm	R
#unit	n	n	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	0	151	6.00E+10	1.53	6.00E+12	0	10	6.00E+12	0.01	4.08580904	6.00E+12	10	6.00E+12	-4	2.19E+00
	0	152	6.00E+10	1.54	6.00E+12	0	10	6.00E+12	0.01	4.090319948	6.00E+12	10	6.00E+12	-4	2.19E+00
	0	153	6.00E+10	1.55	6.00E+12	0	10	6.00E+12	0.01	4.094801275	6.00E+12	10	6.00E+12	-4	2.20E+00
	0	154	6.00E+10	1.56	6.00E+12	0	10	6.00E+12	0.01	4.099253408	6.00E+12	10	6.00E+12	-4	2.20E+00
	0	155	6.00E+10	1.57	6.00E+12	0	10	6.00E+12	0.01	4.103676725	6.00E+12	10	6.00E+12	-4	2.20E+00
	0	156	6.00E+10	1.58	6.00E+12	0	10	6.00E+12	0.01	4.108071595	6.00E+12	10	6.00E+12	-4	2.21E+00
	0	157	6.00E+10	1.59	6.00E+12	0	10	6.00E+12	0.01	4.112438383	6.00E+12	10	6.00E+12	-4	2.21E+00
	0	158	6.00E+10	1.6	6.00E+12	0	10	6.00E+12	0.01	4.116777446	6.00E+12	10	6.00E+12	-4	2.21E+00
	0	159	6.00E+10	1.61	6.00E+12	0	10	6.00E+12	0.01	4.121089132	6.00E+12	10	6.00E+12	-4	2.22E+00
	0	160	6.00E+10	1.62	6.00E+12	0	10	6.00E+12	0.01	4.125373785	6.00E+12	10	6.00E+12	-4	2.22E+00
	0	161	6.00E+10	1.63	6.00E+12	0	10	6.00E+12	0.01	4.129631743	6.00E+12	10	6.00E+12	-4	2.22E+00
	0	162	6.00E+10	1.64	6.00E+12	0	10	6.00E+12	0.01	4.133863335	6.00E+12	10	6.00E+12	-4	2.23E+00
	0	163	6.00E+10	1.65	6.00E+12	0	10	6.00E+12	0.01	4.138068887	6.00E+12	10	6.00E+12	-4	2.23E+00
	0	164	6.00E+10	1.66	6.00E+12	0	10	6.00E+12	0.01	4.142248717	6.00E+12	10	6.00E+12	-4	2.23E+00
