#step	time	cpu_time	id	type	size1	size2	id	type	size1	size2	react	id	type	size1	size2	id	type	size1	size2
26475296	5.77301e-05	8.689	630	4	216	509	-	-	-	-	trap_mutation	631	2	1	0	632	4	217	509
26475464	5.77301e-05	8.69	633	4	216	509	-	-	-	-	trap_mutation	634	2	1	0	635	4	217	509
27067814	5.78202e-05	9.049	636	2	2	0	-	-	-	-	GB	-	-	-	-	-	-	-	-
27976648	6.84001e-05	9.628	-	-	-	-	-	-	-	-	cascade.100.2.txt	-	-	-	-	-	-	-	-
27976648	6.84001e-05	9.628	648	1	1	0	658	2	1	0	anneal	-	-	-	-	-	-	-	-
28294735	6.84129e-05	9.867	691	5	2	5	-	-	-	-	trap_mutation	692	2	3	0	693	4	1	5
28849187	6.86324e-05	10.281	-	-	-	-	-	-	-	-	cascade.100.6.txt	-	-	-	-	-	-	-	-
28849187	6.86324e-05	10.281	702	1	1	0	712	2	1	0	anneal	-	-	-	-	-	-	-	-
29159992	6.86448e-05	10.544	746	4	217	511	-	-	-	-	trap_mutation	747	2	1	0	748	4	218	511
29160367	6.86448e-05	10.545	749	4	217	511	-	-	-	-	trap_mutation	750	2	1	0	751	4	218	511
29160966	6.86448e-05	10.546	752	4	217	511	-	-	-	-	trap_mutation	753	2	1	0	754	4	218	511
29161722	6.86449e-05	10.547	755	4	217	511	-	-	-	-	trap_mutation	756	2	1	0	757	4	218	511
30315688	9.53837e-05	11.452	-	-	-	-	-	-	-	-	cascade.100.6.txt	-	-	-	-	-	-	-	-
30315688	9.53837e-05	11.452	785	1	1	0	795	2	1	0	anneal	-	-	-	-	-	-	-	-
30556656	9.53922e-05	11.687	824	4	217	511	-	-	-	-	trap_mutation	825	2	1	0	826	4	218	511
30566706	9.53926e-05	11.696	827	4	217	511	-	-	-	-	trap_mutation	828	2	1	0	829	4	218	511
30566826	9.53926e-05	11.697	830	4	217	511	-	-	-	-	trap_mutation	831	2	1	0	832	4	218	511
30608688	9.53943e-05	11.734	804	2	1	0	794	1	1	0	anneal	-	-	-	-	-	-	-	-
30746210	9.54018e-05	11.86	836	4	217	511	-	-	-	-	trap_mutation	837	2	1	0	838	4	218	511
30746600	9.54018e-05	11.861	839	4	217	511	-	-	-	-	trap_mutation	840	2	1	0	841	4	218	511
30747976	9.5402e-05	11.863	842	4	217	511	-	-	-	-	trap_mutation	843	2	1	0	844	4	218	511
30800643	9.54079e-05	11.914	845	4	217	511	-	-	-	-	trap_mutation	846	2	1	0	847	4	218	511
31353749	9.62342e-05	12.359	858	5	4	4	-	-	-	-	trap_mutation	859	2	5	0	860	4	1	4
31468721	9.62497e-05	12.447	861	5	3	4	-	-	-	-	trap_mutation	862	2	4	0	863	4	1	4
31547114	9.62664e-05	12.512	864	5	4	4	-	-	-	-	trap_mutation	865	2	5	0	866	4	1	4
33985145	9.67859e-05	14.741	-	-	-	-	-	-	-	-	cascade.100.4.txt	-	-	-	-	-	-	-	-
33985145	9.67859e-05	14.742	868	1	1	0	878	2	1	0	anneal	-	-	-	-	-	-	-	-
33985153	9.67859e-05	14.743	885	2	1	0	875	1	1	0	anneal	-	-	-	-	-	-	-	-
34239677	9.67924e-05	15.033	907	4	217	511	-	-	-	-	trap_mutation	908	2	1	0	909	4	218	511
34399116	9.67992e-05	15.208	911	3	0	5	-	-	-	-	trap_mutation	912	2	1	0	913	4	1	5
34688529	9.68118e-05	15.49	915	4	217	511	-	-	-	-	trap_mutation	916	2	1	0	917	4	218	511
34690181	9.68119e-05	15.492	918	4	217	511	-	-	-	-	trap_mutation	919	2	1	0	920	4	218	511
35751064	9.68856e-05	16.523	929	4	216	512	-	-	-	-	trap_mutation	930	2	2	0	931	4	218	512
49342603	0.000101405	28.459	865	2	5	0	-	-	-	-	GB	-	-	-	-	-	-	-	-
49343205	0.000103011	28.463	-	-	-	-	-	-	-	-	cascade.100.4.txt	-	-	-	-	-	-	-	-
49343205	0.000103011	28.463	944	1	1	0	954	2	1	0	anneal	-	-	-	-	-	-	-	-
49343281	0.000103017	28.464	961	2	1	0	951	1	1	0	anneal	-	-	-	-	-	-	-	-
49661291	0.000103029	28.788	986	4	217	512	-	-	-	-	trap_mutation	987	2	1	0	988	4	218	512
50423424	0.000104353	29.507	1001	2	1	0	790	1	1	0	anneal	-	-	-	-	-	-	-	-
50780886	0.000107929	29.844	-	-	-	-	-	-	-	-	cascade.100.3.txt	-	-	-	-	-	-	-	-
50780886	0.000107929	29.844	1017	1	1	0	1027	2	1	0	anneal	-	-	-	-	-	-	-	-
51537808	0.000108623	30.58	-	-	-	-	-	-	-	-	cascade.100.4.txt	-	-	-	-	-	-	-	-
