!	50	1													
#	Size1	Size2	Fmig	Emig	Femit1	Eemig1	Eb1	Femit2	Eemig2	Eb2	Frotate	Echdir	Ftm	Etm	R
#unit	n/a	n/a	(s-1)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(eV)	(s-1)	(eV)	(s-1)	(eV)	a0
	90	0	6.00E-255	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.147160698
	91	0	6.00E-258	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.155302914
	92	0	6.00E-261	-4	6.00E+12	1.68	2.22186306	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.163385697
	93	0	6.00E-264	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.171410118
	94	0	6.00E-267	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.179377221
	95	0	6.00E-270	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.187288019
	96	0	6.00E-273	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.195143495
	97	0	6.00E-276	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.202944606
	98	0	6.00E-279	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.210692285
	99	0	6.00E-282	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.218387435
	100	0	6.00E-285	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.22603094
	101	0	6.00E-288	-4	6.00E+12	1.68	2.223246502	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.233623656
	102	0	6.00E-291	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.241166419
	103	0	6.00E-294	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.248660042
	104	0	6.00E-297	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.256105319
	105	0	6.00E-300	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.263503022
	106	0	6.00E-303	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.270853903
	107	0	6.00E-306	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.278158696
	108	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.285418116
	109	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.292632863
	110	0	0	-4	6.00E+12	1.68	2.223246502	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.299803617
	111	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.306931042
	112	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.314015788
	113	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.321058486
	114	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.328059757
	115	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.335020203
	116	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.341940415
	117	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.348820969
	118	0	0	-4	6.00E+12	1.68	1.182898215	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.355662429
	119	0	0	-4	6.00E+12	1.68	2.223246502	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.362465344
	120	0	0	-4	6.00E+12	1.68	2.914967438	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.369230254
	121	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.375957685
	122	0	0	-4	6.00E+12	1.68	2.984139532	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.382648151
	123	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.389302156
	124	0	0	-4	6.00E+12	1.68	2.98275609	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.395920194
	125	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.402502746
	126	0	0	-4	6.00E+12	1.68	2.638279064	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.409050283
	127	0	0	-4	6.00E+12	1.68	1.182898214	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.415563269
	128	0	0	-4	6.00E+12	1.68	2.22186306	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.422042155
	129	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.428487383
	130	0	0	-4	6.00E+12	1.68	2.91635088	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.434899389
	131	0	0	-4	6.00E+12	1.68	2.636895622	6.00E+10	0.01	10	6.00E+12	10	6.00E+12	10	2.441278596
